iter	Passed	Remaining
0	121	121708
1	122	61118
2	123	40881
3	123	30760
4	124	24689
5	124	20637
6	125	17740
7	125	15570
8	126	13885
9	126	12544
10	127	11438
11	127	10517
12	128	9738
13	128	9071
14	129	8491
15	129	7982
16	130	7534
17	130	7136
18	131	6779
19	131	6457
20	132	6167
21	132	5903
22	133	5665
23	133	5445
24	134	5242
25	134	5054
26	135	4883
27	136	4732
28	136	4581
29	137	4440
30	137	4308
31	138	4188
32	138	4071
33	139	3962
34	139	3859
35	140	3762
36	141	3672
37	141	3585
38	142	3501
39	142	3422
40	143	3347
41	143	3275
42	144	3207
43	144	3141
44	145	3079
45	145	3020
46	146	2963
47	146	2909
48	147	2856
49	147	2806
50	148	2758
51	148	2712
52	149	2667
53	149	2624
54	150	2582
55	150	2544
56	151	2506
57	152	2470
58	152	2434
59	153	2400
60	153	2366
61	154	2334
62	154	2302
63	155	2271
64	155	2241
65	156	2212
66	156	2184
67	157	2153
68	157	2126
69	158	2100
70	158	2075
71	159	2050
72	159	2026
73	160	2002
74	160	1981
75	161	1959
76	161	1937
77	162	1916
78	162	1897
79	163	1877
80	163	1858
81	164	1840
82	164	1822
83	165	1805
84	166	1787
85	166	1770
86	167	1752
87	167	1736
88	168	1719
89	168	1703
90	169	1688
91	169	1672
92	170	1658
93	170	1644
94	171	1629
95	171	1616
96	172	1602
97	172	1589
98	173	1575
99	173	1562
100	174	1550
101	174	1535
102	174	1523
103	175	1511
104	175	1499
105	176	1487
106	176	1476
107	177	1464
108	177	1454
109	178	1443
110	178	1432
111	179	1421
112	179	1411
113	180	1400
114	180	1390
115	181	1382
116	182	1373
117	182	1364
118	182	1354
119	183	1345
120	183	1336
121	184	1327
122	184	1317
123	185	1308
124	185	1300
125	186	1292
126	186	1284
127	187	1274
128	187	1266
129	188	1258
130	188	1251
131	189	1243
132	189	1236
133	190	1229
134	190	1221
135	191	1214
136	191	1207
137	192	1200
138	192	1194
139	193	1187
140	193	1180
141	194	1174
142	194	1167
143	195	1160
144	195	1154
145	196	1150
146	197	1145
147	197	1139
148	198	1133
149	198	1127
150	199	1121
151	200	1115
152	200	1110
153	201	1104
154	201	1098
155	202	1093
156	202	1087
157	203	1081
158	203	1076
159	204	1071
160	204	1065
161	204	1060
162	205	1055
163	206	1050
164	206	1045
165	207	1040
166	207	1035
167	208	1031
168	208	1026
169	209	1021
170	209	1016
171	210	1012
172	210	1007
173	211	1002
174	211	998
175	212	994
176	212	990
177	213	985
178	214	982
179	214	978
180	215	972
181	215	968
182	216	964
183	216	960
184	217	956
185	217	952
186	218	948
187	218	943
188	219	940
189	219	936
190	220	932
191	220	928
192	221	924
193	221	921
194	222	917
195	222	913
196	223	909
197	223	906
198	224	902
199	224	898
200	225	894
201	225	891
202	226	888
203	226	885
204	227	882
205	228	878
206	228	875
207	229	872
208	229	868
209	230	865
210	230	862
211	231	858
212	231	855
213	232	852
214	232	849
215	233	845
216	233	842
217	234	839
218	234	836
219	235	833
220	235	830
221	235	826
222	236	823
223	236	820
224	237	817
225	237	814
226	238	811
227	238	808
228	239	805
229	239	802
230	240	799
231	240	797
232	241	794
233	242	794
234	243	791
235	243	788
236	244	785
237	244	783
238	245	780
239	245	777
240	246	775
241	246	772
242	247	769
243	247	766
244	248	764
245	248	761
246	248	759
247	249	756
248	249	753
249	250	751
250	250	748
251	251	746
252	251	743
253	252	740
254	252	738
255	253	735
256	253	733
257	254	730
258	254	728
259	255	726
260	255	724
261	256	721
262	256	719
263	257	718
264	258	715
265	258	713
266	259	711
267	259	709
268	260	706
269	260	704
270	260	701
271	261	699
272	261	697
273	262	695
274	262	693
275	263	690
276	263	688
277	264	686
278	264	684
279	265	682
280	265	680
281	266	678
282	266	676
283	267	674
284	267	672
285	268	669
286	268	667
287	269	665
288	269	663
289	270	661
290	270	659
291	271	657
292	271	655
293	272	654
294	273	652
295	273	651
296	274	649
297	274	647
298	275	645
299	275	643
300	276	641
301	276	639
302	277	637
303	277	635
304	277	633
305	278	631
306	279	629
307	279	628
308	280	626
309	280	624
310	280	622
311	281	620
312	281	618
313	282	617
314	282	615
315	283	613
316	283	611
317	284	609
318	284	608
319	285	606
320	285	604
321	286	602
322	286	601
323	287	599
324	288	598
325	288	596
326	289	595
327	289	593
328	290	591
329	290	590
330	291	588
331	291	586
332	292	585
333	292	584
334	293	582
335	293	580
336	294	579
337	294	577
338	295	576
339	295	574
340	296	572
341	296	571
342	297	569
343	297	568
344	298	566
345	298	564
346	299	563
347	299	561
348	300	560
349	300	558
350	301	556
351	301	555
352	302	553
353	303	553
354	303	551
355	304	550
356	304	548
357	305	547
358	305	545
359	306	544
360	306	542
361	307	541
362	307	540
363	308	538
364	308	537
365	309	535
366	309	534
367	310	532
368	310	531
369	311	529
370	311	528
371	312	527
372	312	525
373	313	524
374	313	522
375	314	521
376	314	519
377	315	518
378	315	517
379	315	515
380	316	514
381	317	513
382	317	511
383	318	511
384	319	509
385	319	508
386	320	507
387	320	505
388	321	504
389	321	503
390	322	502
391	322	500
392	323	499
393	323	498
394	324	496
395	324	495
396	325	494
397	325	492
398	326	491
399	326	490
400	327	489
401	327	487
402	328	486
403	329	485
404	329	484
405	330	482
406	330	481
407	331	480
408	331	479
409	332	478
410	332	476
411	333	475
412	334	475
413	334	473
414	335	472
415	335	471
416	336	470
417	336	469
418	337	467
419	337	466
420	338	465
421	338	464
422	339	463
423	339	461
424	340	460
425	340	459
426	341	458
427	342	457
428	342	456
429	343	455
430	344	454
431	344	453
432	345	451
433	345	450
434	346	449
435	346	448
436	347	447
437	347	446
438	348	445
439	349	444
440	350	443
441	350	442
442	351	441
443	351	440
444	352	439
445	352	438
446	353	437
447	353	435
448	354	434
449	354	433
450	355	432
451	355	431
452	356	430
453	357	429
454	357	428
455	358	427
456	358	426
457	359	425
458	359	424
459	360	422
460	360	421
461	361	420
462	361	419
463	362	418
464	362	417
465	363	416
466	363	415
467	364	414
468	365	413
469	366	412
470	366	411
471	367	410
472	367	409
473	367	408
474	368	407
475	368	406
476	369	405
477	369	404
478	370	402
479	370	401
480	371	400
481	371	399
482	372	398
483	372	397
484	373	396
485	373	395
486	374	394
487	374	393
488	375	392
489	375	391
490	376	390
491	376	389
492	377	388
493	377	387
494	378	386
495	378	385
496	379	384
497	380	383
498	380	382
499	381	381
500	381	380
501	382	379
502	382	378
503	383	377
504	383	376
505	384	375
506	384	374
507	385	373
508	385	372
509	386	371
510	386	370
511	387	369
512	387	368
513	388	367
514	388	366
515	389	365
516	390	364
517	390	363
518	390	362
519	391	361
520	391	360
521	392	359
522	392	358
523	393	357
524	393	356
525	394	355
526	395	354
527	395	353
528	396	352
529	396	351
530	397	350
531	397	349
532	398	348
533	398	348
534	399	347
535	400	346
536	400	345
537	401	344
538	401	343
539	402	342
540	402	341
541	403	340
542	403	339
543	404	338
544	404	337
545	404	336
546	405	335
547	405	334
548	406	333
549	406	332
550	407	332
551	407	331
552	408	330
553	408	329
554	409	328
555	410	327
556	411	326
557	411	326
558	412	325
559	412	324
560	413	323
561	413	322
562	414	321
563	414	320
564	415	319
565	415	318
566	416	317
567	416	317
568	417	316
569	417	315
570	418	314
571	419	313
572	419	312
573	420	311
574	420	310
575	421	309
576	421	309
577	422	308
578	422	307
579	423	306
580	423	305
581	424	304
582	424	303
583	425	303
584	426	302
585	427	301
586	427	300
587	428	300
588	428	299
589	429	298
590	429	297
591	430	296
592	430	295
593	431	294
594	431	293
595	432	292
596	432	292
597	433	291
598	433	290
599	434	289
600	434	288
601	435	287
602	435	286
603	436	286
604	436	285
605	437	284
606	437	283
607	438	282
608	438	281
609	439	281
610	440	280
611	440	279
612	441	278
613	441	277
614	442	276
615	442	276
616	443	275
617	443	274
618	444	273
619	444	272
620	445	271
621	445	270
622	446	270
623	446	269
624	447	268
625	447	267
626	448	266
627	449	266
628	449	265
629	450	264
630	450	263
631	451	262
632	451	261
633	452	260
634	452	260
635	453	259
636	453	258
637	454	257
638	454	256
639	455	255
640	455	255
641	456	254
642	457	254
643	458	253
644	458	252
645	459	251
646	459	250
647	460	249
648	460	249
649	461	248
650	461	247
651	462	246
652	462	245
653	463	245
654	463	244
655	464	243
656	464	242
657	465	241
658	465	241
659	466	240
660	466	239
661	467	238
662	467	237
663	468	236
664	468	236
665	469	235
666	469	234
667	471	234
668	472	233
669	472	232
670	473	232
671	473	231
672	474	230
673	475	229
674	475	229
675	476	228
676	478	228
677	479	227
678	480	226
679	480	226
680	481	225
681	482	224
682	483	224
683	483	223
684	485	223
685	489	223
686	489	223
687	490	222
688	491	221
689	491	220
690	492	220
691	492	219
692	493	218
693	493	217
694	494	217
695	495	216
696	495	215
697	496	214
698	496	213
699	497	213
700	497	212
701	498	211
702	498	210
703	499	210
704	500	209
705	500	208
706	501	207
707	502	207
708	503	206
709	503	205
710	504	205
711	505	204
712	505	203
713	506	202
714	506	202
715	507	201
716	508	200
717	508	199
