iter	RMSE
0	41.66929055
1	40.34957705
2	39.00651757
3	37.87740486
4	36.73921312
5	35.65265476
6	34.53039592
7	33.46193132
8	32.35115466
9	31.29687963
10	30.37178578
11	29.44354429
12	28.54280171
13	27.60644573
14	26.72927937
15	25.92244785
16	25.07206369
17	24.33316911
18	23.60571461
19	22.86436103
20	22.19884824
21	21.57579926
22	20.91430589
23	20.27673543
24	19.66063063
25	19.05983907
26	18.54563884
27	17.96489893
28	17.43858
29	16.97018703
30	16.45296521
31	15.94847849
32	15.51543667
33	15.06645266
34	14.67952558
35	14.25175585
36	13.82672958
37	13.44444535
38	13.05342661
39	12.66211257
40	12.30969226
41	11.99292864
42	11.69434153
43	11.36088686
44	11.0308459
45	10.71548399
46	10.42412401
47	10.13997636
48	9.85539377
49	9.566026572
50	9.304157186
51	9.051567558
52	8.80862465
53	8.580121596
54	8.336894254
55	8.12452924
56	7.944197988
57	7.741154558
58	7.531888856
59	7.33460754
60	7.151469578
61	6.980329194
62	6.801350361
63	6.634525299
64	6.478669605
65	6.322207808
66	6.166987931
67	6.037398401
68	5.902521887
69	5.760284245
70	5.639044789
71	5.510298029
72	5.367317025
73	5.247340664
74	5.140021254
75	5.026370394
76	4.917947383
77	4.81113543
78	4.705546716
79	4.597809608
80	4.500514191
81	4.412112466
82	4.319791839
83	4.221896168
84	4.14008388
85	4.050083195
86	3.975341279
87	3.89203651
88	3.820037098
89	3.747434692
90	3.680360808
91	3.606180711
92	3.541618441
93	3.47842813
94	3.427311047
95	3.376837837
96	3.312041695
97	3.265695303
98	3.211598813
99	3.160361925
100	3.10606709
101	3.061463938
102	3.009916186
103	2.965742311
104	2.919595948
105	2.905498407
106	2.866483155
107	2.825224819
108	2.782225958
109	2.738144557
110	2.703349667
111	2.693111298
112	2.682416726
113	2.674857591
114	2.640191762
115	2.631678258
116	2.596181098
117	2.566468583
118	2.534382881
119	2.52112274
120	2.504128661
121	2.487610835
122	2.472291163
123	2.462627365
124	2.432778666
125	2.414126648
126	2.406687247
127	2.38032349
128	2.372042885
129	2.364389834
130	2.337135266
131	2.33014268
132	2.323249446
133	2.302417235
134	2.294256408
135	2.267359112
136	2.243104993
137	2.218616342
138	2.208897414
139	2.185788065
140	2.178997994
141	2.170487389
142	2.150649643
143	2.1266012
144	2.117531768
145	2.097017972
146	2.088008198
147	2.081512766
148	2.074840373
149	2.068253333
150	2.062891487
151	2.045549929
152	2.039296839
153	2.033203494
154	2.026915287
155	2.013129152
156	2.008037266
157	1.991377768
158	1.985969021
159	1.971935516
160	1.963193283
161	1.943471659
162	1.935878773
163	1.931015848
164	1.912229624
165	1.894281302
166	1.877503707
167	1.872824781
168	1.868253184
169	1.863787234
170	1.855115018
171	1.839895957
172	1.835631418
173	1.827852691
174	1.823350237
175	1.817967413
176	1.814368438
177	1.810833498
178	1.807454725
179	1.803565908
180	1.798503592
181	1.794218141
182	1.790071807
183	1.781254444
184	1.765409508
185	1.752266696
186	1.73564515
187	1.732352127
188	1.728725619
189	1.71454866
190	1.710442803
191	1.706871432
192	1.694453667
193	1.691100824
194	1.688165037
195	1.674349045
196	1.661403116
197	1.658544138
198	1.644520993
199	1.641456525
200	1.638776929
201	1.635997348
202	1.624504439
203	1.618660377
204	1.616151835
205	1.613567543
206	1.608568712
207	1.595451413
208	1.592418195
209	1.589976276
210	1.587707364
211	1.58529779
212	1.58311102
213	1.580857145
214	1.567014994
215	1.554343132
216	1.552191897
217	1.550172367
218	1.538295314
219	1.529117798
220	1.52045138
221	1.51831185
222	1.516441543
223	1.514605832
224	1.506431681
225	1.50465857
226	1.502702449
227	1.500919156
228	1.499243836
229	1.490600718
230	1.488781141
231	1.480773348
232	1.473822038
233	1.472104058
234	1.461659905
235	1.454196982
236	1.452727077
237	1.446850799
238	1.438756291
239	1.436632176
240	1.428833997
241	1.422285153
242	1.42012005
243	1.418001982
244	1.416574391
245	1.408967926
246	1.407732805
247	1.406415986
248	1.400591328
249	1.398593694
250	1.397351883
251	1.389313109
252	1.38811718
253	1.382642391
254	1.381573264
255	1.373723923
256	1.36517617
257	1.360349472
258	1.353855708
259	1.348605297
260	1.347019527
261	1.345977279
262	1.343718231
263	1.334451819
264	1.328796638
265	1.325708684
266	1.324286546
267	1.315547966
268	1.314533371
269	1.310061164
270	1.308035712
271	1.303708105
272	1.302432812
273	1.298149294
274	1.297284826
275	1.296438778
276	1.295649834
277	1.290298836
278	1.289497717
279	1.282916462
280	1.27617744
281	1.26782772
282	1.267110194
283	1.266406822
284	1.261672284
285	1.257041863
286	1.253402594
287	1.249399669
288	1.247745082
289	1.242713184
290	1.241386282
291	1.239278774
292	1.234489699
293	1.230608276
294	1.227324551
295	1.222464263
296	1.221871572
297	1.220528998
298	1.218632997
299	1.217360067
300	1.216157479
301	1.212350729
302	1.210536075
303	1.209744238
304	1.209282013
305	1.205301192
306	1.204552963
307	1.204114357
308	1.203641509
309	1.196357424
310	1.191797483
311	1.18847909
312	1.187799138
313	1.187401608
314	1.182821855
315	1.182178628
316	1.177691838
317	1.17294879
318	1.172423713
319	1.168132188
320	1.16479484
321	1.164303065
322	1.163960995
323	1.158417592
324	1.157867085
325	1.155563989
326	1.155118804
327	1.152180044
328	1.151868838
329	1.149151875
330	1.148850573
331	1.143880722
332	1.14031412
333	1.135956867
334	1.129652433
335	1.12619189
336	1.125918985
337	1.119489949
338	1.115479976
339	1.109453226
340	1.109194741
341	1.108941303
342	1.106422953
343	1.103374109
344	1.098747723
345	1.095995111
346	1.095761584
347	1.093306203
348	1.090740982
349	1.088633607
350	1.086691079
351	1.082625629
352	1.077668263
353	1.072342794
354	1.067942869
355	1.06391182
356	1.061033886
357	1.0567652
358	1.052694396
359	1.051961701
360	1.048177669
361	1.043571753
362	1.041147569
363	1.0389925
364	1.036455118
365	1.033973506
366	1.029093907
367	1.0262412
368	1.022183063
369	1.017752236
370	1.014566339
371	1.009844179
372	1.006755718
373	1.003789087
374	1.000316523
375	0.9970834405
376	0.9950079497
377	0.9922472645
378	0.9881656192
379	0.9864439716
380	0.9830547506
381	0.9801829022
382	0.9782851277
383	0.9764480029
384	0.9726500079
385	0.9699491804
386	0.9664027985
387	0.9633426273
388	0.961292436
389	0.9584564141
390	0.9554654546
391	0.9524150937
392	0.9491394872
393	0.9474209608
394	0.9456375727
395	0.9437709861
396	0.9400934009
397	0.9361221098
398	0.9344603876
399	0.9321174442
400	0.9300381376
401	0.9252808044
402	0.9218190304
403	0.9193847647
404	0.9161857204
