iter	Passed	Remaining
0	0	998
1	1	802
2	2	763
3	2	716
4	3	680
5	4	663
6	4	648
7	5	637
8	5	630
9	6	645
10	7	650
11	7	651
12	8	644
13	9	636
14	9	633
15	10	638
16	10	634
17	11	629
18	12	621
19	12	616
20	13	611
21	13	601
22	14	596
23	14	591
24	15	587
25	16	624
26	17	624
27	18	631
28	18	631
29	19	645
30	20	642
31	21	639
32	21	639
33	22	637
34	23	636
35	23	634
36	24	630
37	25	639
38	25	636
39	26	634
40	28	675
41	29	677
42	30	677
43	31	687
44	32	687
45	32	684
46	33	680
47	34	675
48	34	676
49	35	673
50	36	670
51	36	669
52	37	674
53	39	685
54	39	686
55	40	682
56	41	680
57	41	679
58	42	678
59	43	674
60	43	673
61	44	670
62	44	667
63	45	664
64	46	663
65	46	664
66	47	664
67	48	660
68	48	658
69	49	655
70	49	653
71	50	650
72	51	652
73	52	651
74	53	665
75	54	664
76	55	661
77	56	662
78	56	660
79	57	658
80	57	656
81	58	652
82	58	649
83	59	647
84	59	644
85	60	641
86	61	642
87	61	641
88	62	639
89	66	668
90	66	668
91	67	667
92	68	669
93	69	667
94	69	664
95	70	661
96	70	658
97	71	655
98	71	653
99	72	650
100	72	649
101	73	647
102	74	645
103	74	642
104	75	640
105	75	637
106	76	635
107	76	633
108	77	631
109	77	630
110	78	630
111	79	629
112	79	625
113	79	620
114	80	618
115	80	615
116	81	613
117	81	612
118	82	610
119	83	609
120	83	607
121	84	605
122	84	603
123	85	600
124	85	599
125	86	597
126	86	594
127	86	592
128	87	589
129	87	586
130	88	586
131	88	582
132	88	579
133	89	577
134	89	576
135	90	574
136	90	572
137	91	571
138	91	569
139	92	567
140	93	567
141	93	564
142	94	565
143	95	565
144	95	565
145	96	564
146	97	563
147	97	561
148	97	558
149	98	555
150	98	553
151	98	551
152	99	550
153	99	548
154	101	550
155	101	549
156	101	547
157	102	546
158	102	544
159	103	542
160	103	541
161	104	540
162	104	538
163	105	536
164	105	535
165	106	533
166	106	532
167	107	530
168	107	529
169	108	527
170	108	527
171	109	526
172	109	524
173	110	523
174	110	521
175	111	520
176	111	517
177	111	515
178	111	512
179	112	510
180	112	509
